"Treatment","Y"
"Control",44.11287534144
"Control",38.3059054858117
"Control",41.089385234012
"Control",41.8985878148831
"Control",41.212804969423
"Control",39.6816264517255
"Control",44.5345659923168
"Control",39.7160228847607
"Control",46.0552711416311
"Control",39.8118577028427
"Control",43.9146089626705
"Control",46.8599361781033
"Control",35.833417896663
"Control",39.1636336995479
"Control",39.600035990819
"Drug",37.9078511942102
"Drug",35.1472412357518
"Drug",28.0306337372857
"Drug",28.6785992142734
"Drug",39.9603400371906
"Drug",35.0800842177646
"Drug",30.65607469806
"Drug",35.4842479327211
"Drug",39.6440240975178
"Drug",41.6855803837949
"Drug",34.7085926051814
"Drug",35.2281918516932
"Drug",30.7105107444157
"Drug",37.3802920644938
"Drug",34.0800153721196
