"Weight","Barks"
46.5922417398542,35.2039720641373
47.4830165319145,32.888749501709
21.4455813914537,12.7534244330125
43.217905042693,24.28755173562
35.6698207557201,31.7952504150506
30.7638379652053,24.4620032003672
39.4635325856507,24.3878409908853
15.3866638895124,17.1775798774773
36.2796916160733,31.7838699055544
38.202591361478,34.7868760645339
28.3096710499376,22.8634281301502
38.7644900660962,28.6104368847413
47.386889886111,28.4039556874712
20.217152973637,21.4888685513123
28.4917129017413,22.3258718229903
47.6005809102207,35.166640824834
49.129057135433,36.6790405794029
14.6994944661856,20.4550577990026
28.9998832624406,22.6731625049986
32.4133098497987,27.7215202947933
46.1612554918975,27.9296017087287
15.5484067089856,15.4208263293543
49.5556691568345,32.2251117958877
47.8667293023318,26.690741701326
13.2975023239851,16.7571189826693
30.5684713739902,25.9022314875959
25.6081386841834,21.7208974464457
46.2295252364129,35.389252325305
27.8787851240486,21.7592780807946
43.4401703998446,27.6152420666644
